[2026-04-20 12:08:44.379] PRODUCAO | veiculoId=76 | cor=G | tipo=SUV | estacaoId=2 | funcionarioId=1 | posEsteiraFabrica=35
[2026-04-20 12:08:44.433] PRODUCAO | veiculoId=77 | cor=B | tipo=SEDAN | estacaoId=0 | funcionarioId=0 | posEsteiraFabrica=36
[2026-04-20 12:08:44.484] PRODUCAO | veiculoId=79 | cor=G | tipo=SEDAN | estacaoId=3 | funcionarioId=0 | posEsteiraFabrica=37
[2026-04-20 12:08:44.537] PRODUCAO | veiculoId=78 | cor=R | tipo=SUV | estacaoId=1 | funcionarioId=2 | posEsteiraFabrica=38
[2026-04-20 12:08:44.589] PRODUCAO | veiculoId=80 | cor=B | tipo=SUV | estacaoId=0 | funcionarioId=2 | posEsteiraFabrica=39
[2026-04-20 12:08:44.641] PRODUCAO | veiculoId=81 | cor=R | tipo=SEDAN | estacaoId=2 | funcionarioId=2 | posEsteiraFabrica=0
[2026-04-20 12:08:44.693] PRODUCAO | veiculoId=82 | cor=G | tipo=SUV | estacaoId=2 | funcionarioId=4 | posEsteiraFabrica=1
[2026-04-20 12:08:44.745] PRODUCAO | veiculoId=83 | cor=B | tipo=SEDAN | estacaoId=1 | funcionarioId=0 | posEsteiraFabrica=2
[2026-04-20 12:08:44.799] PRODUCAO | veiculoId=84 | cor=R | tipo=SUV | estacaoId=3 | funcionarioId=4 | posEsteiraFabrica=3
[2026-04-20 12:08:44.852] PRODUCAO | veiculoId=85 | cor=G | tipo=SEDAN | estacaoId=0 | funcionarioId=1 | posEsteiraFabrica=4
[2026-04-20 12:08:44.904] PRODUCAO | veiculoId=86 | cor=B | tipo=SUV | estacaoId=0 | funcionarioId=3 | posEsteiraFabrica=5
[2026-04-20 12:08:44.956] PRODUCAO | veiculoId=87 | cor=R | tipo=SEDAN | estacaoId=1 | funcionarioId=3 | posEsteiraFabrica=6
[2026-04-20 12:08:45.009] PRODUCAO | veiculoId=88 | cor=G | tipo=SUV | estacaoId=1 | funcionarioId=1 | posEsteiraFabrica=7
[2026-04-20 12:09:00.569] PRODUCAO | veiculoId=89 | cor=B | tipo=SEDAN | estacaoId=2 | funcionarioId=0 | posEsteiraFabrica=8
[2026-04-20 12:09:00.630] PRODUCAO | veiculoId=90 | cor=R | tipo=SUV | estacaoId=3 | funcionarioId=2 | posEsteiraFabrica=9
[2026-04-20 12:09:00.662] PRODUCAO | veiculoId=91 | cor=G | tipo=SEDAN | estacaoId=0 | funcionarioId=4 | posEsteiraFabrica=10
[2026-04-20 12:09:00.709] PRODUCAO | veiculoId=92 | cor=B | tipo=SUV | estacaoId=1 | funcionarioId=4 | posEsteiraFabrica=11
[2026-04-20 12:09:00.723] PRODUCAO | veiculoId=93 | cor=R | tipo=SEDAN | estacaoId=2 | funcionarioId=3 | posEsteiraFabrica=12
[2026-04-20 12:09:00.784] PRODUCAO | veiculoId=94 | cor=G | tipo=SUV | estacaoId=3 | funcionarioId=1 | posEsteiraFabrica=13
[2026-04-20 12:09:00.817] PRODUCAO | veiculoId=95 | cor=B | tipo=SEDAN | estacaoId=3 | funcionarioId=3 | posEsteiraFabrica=14
[2026-04-20 12:09:00.832] PRODUCAO | veiculoId=96 | cor=R | tipo=SUV | estacaoId=2 | funcionarioId=1 | posEsteiraFabrica=15
[2026-04-20 12:09:00.879] PRODUCAO | veiculoId=97 | cor=G | tipo=SEDAN | estacaoId=0 | funcionarioId=0 | posEsteiraFabrica=16
[2026-04-20 12:09:00.941] PRODUCAO | veiculoId=99 | cor=R | tipo=SEDAN | estacaoId=1 | funcionarioId=2 | posEsteiraFabrica=17
[2026-04-20 12:09:00.941] PRODUCAO | veiculoId=98 | cor=B | tipo=SUV | estacaoId=3 | funcionarioId=0 | posEsteiraFabrica=18
[2026-04-20 12:09:00.972] PRODUCAO | veiculoId=100 | cor=G | tipo=SUV | estacaoId=0 | funcionarioId=2 | posEsteiraFabrica=19
[2026-04-20 12:09:00.988] PRODUCAO | veiculoId=101 | cor=B | tipo=SEDAN | estacaoId=2 | funcionarioId=2 | posEsteiraFabrica=20
[2026-04-20 12:09:01.033] PRODUCAO | veiculoId=102 | cor=R | tipo=SUV | estacaoId=2 | funcionarioId=4 | posEsteiraFabrica=21
[2026-04-20 12:09:01.095] PRODUCAO | veiculoId=104 | cor=B | tipo=SUV | estacaoId=1 | funcionarioId=0 | posEsteiraFabrica=23
[2026-04-20 12:09:01.095] PRODUCAO | veiculoId=103 | cor=G | tipo=SEDAN | estacaoId=3 | funcionarioId=4 | posEsteiraFabrica=22
[2026-04-20 12:09:01.126] PRODUCAO | veiculoId=105 | cor=R | tipo=SEDAN | estacaoId=0 | funcionarioId=1 | posEsteiraFabrica=24
[2026-04-20 12:09:01.143] PRODUCAO | veiculoId=106 | cor=G | tipo=SUV | estacaoId=0 | funcionarioId=3 | posEsteiraFabrica=25
[2026-04-20 12:09:01.189] PRODUCAO | veiculoId=107 | cor=B | tipo=SEDAN | estacaoId=1 | funcionarioId=3 | posEsteiraFabrica=26
[2026-04-20 12:09:01.250] PRODUCAO | veiculoId=109 | cor=G | tipo=SEDAN | estacaoId=1 | funcionarioId=1 | posEsteiraFabrica=28
[2026-04-20 12:09:01.250] PRODUCAO | veiculoId=108 | cor=R | tipo=SUV | estacaoId=2 | funcionarioId=0 | posEsteiraFabrica=27
