[2026-04-20 12:09:02.182] VENDA_LOJA_CLIENTE | veiculoId=67 | cor=G | tipo=SEDAN | estacaoId=1 | funcionarioId=3 | posEsteiraFabrica=26 | clienteId=13 | posGaragemCliente=3
[2026-04-20 12:09:02.219] VENDA_LOJA_CLIENTE | veiculoId=70 | cor=G | tipo=SUV | estacaoId=3 | funcionarioId=2 | posEsteiraFabrica=29 | clienteId=20 | posGaragemCliente=3
[2026-04-20 12:09:02.262] VENDA_LOJA_CLIENTE | veiculoId=71 | cor=B | tipo=SEDAN | estacaoId=0 | funcionarioId=4 | posEsteiraFabrica=30 | clienteId=3 | posGaragemCliente=3
[2026-04-20 12:09:02.264] VENDA_LOJA_CLIENTE | veiculoId=74 | cor=B | tipo=SUV | estacaoId=3 | funcionarioId=1 | posEsteiraFabrica=33 | clienteId=5 | posGaragemCliente=3
[2026-04-20 12:09:02.303] VENDA_LOJA_CLIENTE | veiculoId=73 | cor=G | tipo=SEDAN | estacaoId=2 | funcionarioId=3 | posEsteiraFabrica=32 | clienteId=4 | posGaragemCliente=2
[2026-04-20 12:09:02.306] VENDA_LOJA_CLIENTE | veiculoId=77 | cor=B | tipo=SEDAN | estacaoId=0 | funcionarioId=0 | posEsteiraFabrica=36 | clienteId=10 | posGaragemCliente=2
[2026-04-20 12:09:02.363] VENDA_LOJA_CLIENTE | veiculoId=82 | cor=G | tipo=SUV | estacaoId=2 | funcionarioId=4 | posEsteiraFabrica=1 | clienteId=14 | posGaragemCliente=3
[2026-04-20 12:09:02.370] VENDA_LOJA_CLIENTE | veiculoId=87 | cor=R | tipo=SEDAN | estacaoId=1 | funcionarioId=3 | posEsteiraFabrica=6 | clienteId=18 | posGaragemCliente=3
[2026-04-20 12:09:02.408] VENDA_LOJA_CLIENTE | veiculoId=75 | cor=R | tipo=SEDAN | estacaoId=3 | funcionarioId=3 | posEsteiraFabrica=34 | clienteId=8 | posGaragemCliente=4
[2026-04-20 12:09:02.413] VENDA_LOJA_CLIENTE | veiculoId=78 | cor=R | tipo=SUV | estacaoId=1 | funcionarioId=2 | posEsteiraFabrica=38 | clienteId=9 | posGaragemCliente=4
[2026-04-20 12:09:02.419] VENDA_LOJA_CLIENTE | veiculoId=89 | cor=B | tipo=SEDAN | estacaoId=2 | funcionarioId=0 | posEsteiraFabrica=8 | clienteId=12 | posGaragemCliente=3
[2026-04-20 12:09:02.450] VENDA_LOJA_CLIENTE | veiculoId=81 | cor=R | tipo=SEDAN | estacaoId=2 | funcionarioId=2 | posEsteiraFabrica=0 | clienteId=6 | posGaragemCliente=3
[2026-04-20 12:09:02.474] VENDA_LOJA_CLIENTE | veiculoId=83 | cor=B | tipo=SEDAN | estacaoId=1 | funcionarioId=0 | posEsteiraFabrica=2 | clienteId=17 | posGaragemCliente=3
[2026-04-20 12:09:02.544] VENDA_LOJA_CLIENTE | veiculoId=72 | cor=R | tipo=SUV | estacaoId=1 | funcionarioId=4 | posEsteiraFabrica=31 | clienteId=19 | posGaragemCliente=3
[2026-04-20 12:09:02.602] VENDA_LOJA_CLIENTE | veiculoId=92 | cor=B | tipo=SUV | estacaoId=1 | funcionarioId=4 | posEsteiraFabrica=11 | clienteId=15 | posGaragemCliente=3
[2026-04-20 12:09:02.641] VENDA_LOJA_CLIENTE | veiculoId=76 | cor=G | tipo=SUV | estacaoId=2 | funcionarioId=1 | posEsteiraFabrica=35 | clienteId=3 | posGaragemCliente=4
[2026-04-20 12:09:02.648] VENDA_LOJA_CLIENTE | veiculoId=86 | cor=B | tipo=SUV | estacaoId=0 | funcionarioId=3 | posEsteiraFabrica=5 | clienteId=18 | posGaragemCliente=4
[2026-04-20 12:09:02.741] VENDA_LOJA_CLIENTE | veiculoId=88 | cor=G | tipo=SUV | estacaoId=1 | funcionarioId=1 | posEsteiraFabrica=7 | clienteId=1 | posGaragemCliente=4
[2026-04-20 12:09:02.752] VENDA_LOJA_CLIENTE | veiculoId=79 | cor=G | tipo=SEDAN | estacaoId=3 | funcionarioId=0 | posEsteiraFabrica=37 | clienteId=5 | posGaragemCliente=4
[2026-04-20 12:09:02.766] VENDA_LOJA_CLIENTE | veiculoId=91 | cor=G | tipo=SEDAN | estacaoId=0 | funcionarioId=4 | posEsteiraFabrica=10 | clienteId=19 | posGaragemCliente=4
[2026-04-20 12:09:02.833] VENDA_LOJA_CLIENTE | veiculoId=95 | cor=B | tipo=SEDAN | estacaoId=3 | funcionarioId=3 | posEsteiraFabrica=14 | clienteId=20 | posGaragemCliente=4
[2026-04-20 12:09:02.834] VENDA_LOJA_CLIENTE | veiculoId=80 | cor=B | tipo=SUV | estacaoId=0 | funcionarioId=2 | posEsteiraFabrica=39 | clienteId=15 | posGaragemCliente=4
[2026-04-20 12:09:02.873] VENDA_LOJA_CLIENTE | veiculoId=99 | cor=R | tipo=SEDAN | estacaoId=1 | funcionarioId=2 | posEsteiraFabrica=17 | clienteId=13 | posGaragemCliente=4
[2026-04-20 12:09:02.898] VENDA_LOJA_CLIENTE | veiculoId=94 | cor=G | tipo=SUV | estacaoId=3 | funcionarioId=1 | posEsteiraFabrica=13 | clienteId=2 | posGaragemCliente=4
[2026-04-20 12:09:02.941] VENDA_LOJA_CLIENTE | veiculoId=97 | cor=G | tipo=SEDAN | estacaoId=0 | funcionarioId=0 | posEsteiraFabrica=16 | clienteId=4 | posGaragemCliente=3
[2026-04-20 12:09:02.942] VENDA_LOJA_CLIENTE | veiculoId=101 | cor=B | tipo=SEDAN | estacaoId=2 | funcionarioId=2 | posEsteiraFabrica=20 | clienteId=17 | posGaragemCliente=4
[2026-04-20 12:09:03.027] VENDA_LOJA_CLIENTE | veiculoId=84 | cor=R | tipo=SUV | estacaoId=3 | funcionarioId=4 | posEsteiraFabrica=3 | clienteId=10 | posGaragemCliente=3
[2026-04-20 12:09:03.063] VENDA_LOJA_CLIENTE | veiculoId=100 | cor=G | tipo=SUV | estacaoId=0 | funcionarioId=2 | posEsteiraFabrica=19 | clienteId=14 | posGaragemCliente=4
[2026-04-20 12:09:03.094] VENDA_LOJA_CLIENTE | veiculoId=107 | cor=B | tipo=SEDAN | estacaoId=1 | funcionarioId=3 | posEsteiraFabrica=26 | clienteId=6 | posGaragemCliente=4
[2026-04-20 12:09:03.164] VENDA_LOJA_CLIENTE | veiculoId=110 | cor=B | tipo=SUV | estacaoId=3 | funcionarioId=2 | posEsteiraFabrica=29 | clienteId=12 | posGaragemCliente=4
[2026-04-20 12:09:03.414] VENDA_LOJA_CLIENTE | veiculoId=103 | cor=G | tipo=SEDAN | estacaoId=3 | funcionarioId=4 | posEsteiraFabrica=22 | clienteId=4 | posGaragemCliente=4
[2026-04-20 12:09:03.546] VENDA_LOJA_CLIENTE | veiculoId=105 | cor=R | tipo=SEDAN | estacaoId=0 | funcionarioId=1 | posEsteiraFabrica=24 | clienteId=10 | posGaragemCliente=4
